team,assigned_to,TicketCount,MedianResolutionHours,EscalationRate,AverageCSAT
Billing,Logan West,3918,117.78,0.5,3.0057202288091522
Billing,Nico Fernandez,3943,118.33,0.5019021049961958,3.0049235553252136
Billing,Priya Sharma,4073,120.97,0.497667566904002,3.012021036814425
Credit,Mel Oakley,3099,123.41,0.4920942239432075,2.933355328274497
Credit,Ravi Singh,3136,119.93,0.5009566326530612,2.970626631853786
Credit,Tess McLeod,3104,123.125,0.4884020618556701,2.9610219456272517
Provisioning,Aroha Ngata,1898,117.365,0.5136986301369864,2.9859989229940767
Provisioning,Dana Holloway,1846,121.18,0.5037919826652221,3.032578685808945
Provisioning,Seb Lamont,1895,122.85,0.5160949868073879,2.933404940923738
Support,Alex Dunn,3764,120.06,0.49415515409139216,3.026301518438178
Support,Casey Harper,3968,122.46000000000001,0.5037802419354839,2.9662109878772247
Support,Drew Kapoor,3974,119.65,0.49899345747357826,3.017692307692308
Support,Jamie Patel,3859,117.72,0.4944286084477844,3.025939650608788
Support,Jordan Lee,3949,121.31,0.5175993922512029,2.9989642672190575
Support,Morgan Reid,3838,122.08500000000001,0.5052110474205316,3.018847889567295
Support,Quinn Sullivan,3857,122.1,0.5071298936997667,2.989412387506617
Support,Riley Chen,3935,117.98,0.49555273189326554,3.015006468305304
Support,Sam Mitchell,3848,119.465,0.5075363825363826,3.0018538135593222
Support,Taylor Brooks,3909,122.02,0.5239191609107189,3.036078431372549
,,1354,119.915,0.5110782865583456,3.0627362055933482
